Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
026,MB67,MB67026,Participating in financing broadcasting station which broadcasts unlawfully in UK or its external waters,,07/02/2007,Section: 3A,,MB670260,,
027,MB67,MB67027,Participate in operation/day-to-day running of broadcast station which broadcasts unlawfully in UK/external waters,,07/02/2007,Section: 3A,,MB670270,,
028,MB67,MB67028,Doing act in UK or its external waters to facilitate unlawful broadcast from ship or aircraft,,07/02/2007,Section: 4(1),,MB670280,,
029,MB67,MB67029,Doing act on ship registered in UK etc to facilitate unlawful broadcast in location other than UK or its external waters,,07/02/2007,Section: 4(1),,MB670290,,
030,MB67,MB67030,Do act on aircraft regd in UK etc to facilitate unlawful broadcast in/over location other than UK/external waters,,07/02/2007,Section: 4(1),,MB670300,,
031,MB67,MB67031,British citizen etc doing act to facilitate unlawful broadcast from ship on high seas,,07/02/2007,Section: 4(1),,MB670310,,
032,MB67,MB67032,British citizen etc doing act to facilitate unlawful broadcast from aircraft on or over high seas,,07/02/2007,Section: 4(1),,MB670320,,
033,MB67,MB67033,Person in UK procuring another to do act outside UK which would be contrary to s4(1) if done in UK,,07/02/2007,Section: 4(2),,MB670330,,
034,MB67,MB67034,Doing act in UK or its external waters relating to unlawful broadcast from ship or aircraft,,07/02/2007,Section: 5(1),,MB670340,,
035,MB67,MB67035,Doing act on ship registered in UK etc relating to unlawful broadcast in location other than UK or its external waters,,07/02/2007,Section: 5(1),,MB670350,,
036,MB67,MB67036,Do act on aircraft regd in UK etc relating to unlawful broadcast in/over location other than UK/its external waters,,07/02/2007,Section: 5(1),,MB670360,,
037,MB67,MB67037,British citizen etc doing act relating to unlawful broadcast from ship on high seas,,07/02/2007,Section: 5(1),,MB670370,,
038,MB67,MB67038,British citizen etc doing act relating to unlawful broadcast from aircraft on or over high seas,,07/02/2007,Section: 5(1),,MB670380,,
039,MB67,MB67039,Person in UK procuring another to do act outside UK which would be contrary to s5(1) if done in UK,,07/02/2007,Section: 5(2),,MB670390,,
040,MB67,MB67040,Assaulting enforcement officer or assistant exercising power under s7A(5),,07/02/2007,Section: 7A(8),,MB670400,,
041,MB67,MB67041,Obstructing enforcement officer or assistant exercising power under s7A(5),,07/02/2007,Section: 7A(8),,MB670410,,
042,MB67,MB67042,Failing or refusing to comply with requirement of enforcement officer or assistant under ss7A(5)(e) or (f),,07/02/2007,Section: 7A(8),,MB670420,,
001,MC03,MC03001,Fail to comply with approval requirements,08/08/2008,,Section:,,MC030010,,
001,MC05,MC05001,Donee of power of attorney ill-treats/wilfully neglects a person without mental capacity,01/04/2007,,Section: 44,,MC050010,,
002,MC05,MC05002,Carer ill-treat / wilfully neglect a person without mental capacity,01/04/2007,,Section: 44,,MC050020,,
003,MC05,MC05003,Make a false statement in application to the Public Guardian for registration of doc for lasting power of attorney,01/10/2007,,Section: Sch 1 Part 2 para 4(4),,MC050030,,
004,MC05,MC05004,Make a false statement in an application for registration re actual/impending incapacity of donor,01/10/2007,,Section: Sch 4 Part 2 para 4(7),,MC050040,,
001,MC11,MC11001,Master of ship failing to render assistance to person in danger at sea,,01/01/1995,Section: 6,,MC110010,,
001,MC69,MC69001,"Unlicensed hackney carriage plies for hire, the owner of such carriage shall be liable",,,Section: 7,,MC690010,,
002,MC69,MC69002,Owner of unlicensed hackney carriage allow it to be found on stand within the limits of this Act,,,Section: 7,,MC690020,,
003,MC69,MC69003,Ply for hire without a hackney carriage licence,01/01/1969,,Section: 8,,MC690030,,
001,MC75,MC75001,Selling children's aspirin or paracetamol which is not in child-proof container,,01/10/2003,Section: 2(2)  &  4,,MC750010,,
002,MC75,MC75002,Supplying children's aspirin or paracetamol which is not in child-proof container,,01/10/2003,Section: 2(2)  &  4,,MC750020,,
003,MC75,MC75003,Selling children's aspirin or paracetamol which is not white,,01/10/2003,Section: 2(2)  &  4,,MC750030,,
004,MC75,MC75004,Supplying children's aspirin or paracetamol which is not white,,01/10/2003,Section: 2(2)  &  4,,MC750040,,
001,MC79,MC79001,Send/deliver information sheet to optician/pharmacist which does not comply with info requirement in Sch1 to Regs,,,Section: 3  &  9,,MC790010,,
002,MC79,MC79002,Send/deliver data sheet to optician/pharmacist which does not comply with info requirement in Sch 1 to these Regs,,,Section: 4  &  9,,MC790020,,
001,MC80,MC80001,Making false statement in statement tendered in evidence,,08/05/2008,Section: 106,,MC800010,,
002,MC80,MC80002,Breach binding-over order,,,Section: 115,,MC800020,,
003,MC80,MC80003,Behaving in manner whereby breach of the peace occurs,,28/02/2003,Section: 115,,MC800030,,
004,MC80,MC80004,Behaving in manner whereby breach of the peace is likely,,28/02/2003,Section: 115,,MC800040,,
005,MC80,MC80005,Publishing report of Magistrates' Court proceedings in contravention of s8,,01/01/1901,Section: 8A(1),,MC800050,,
006,MC80,MC80006,Disobeying a court order (other than one for the payment of money),10/06/1997,,Section: 63(3),,MC800060,,
007,MC80,MC80007,"Refusal to swear, give evidence, produce any document or thing",10/06/1997,,Section: 97(4),,MC800070,,
008,MC80,MC80008,Publication / broadcast of committal proceedings in a Magistrates' Court,,08/05/2008,Section: 8(5),,MC800080,,
009,MC80,MC80009,Intentional/reckless disclose/use info supplied not for the purpose of enforcement of s.125A(1) warrant concerned.,,,Section: 125C,,MC800090,,
010,MC80,MC80010,Behaving in manner whereby breach of the peace is likely,01/03/2003,,Section: 115,,MC800100,,
011,MC80,MC80011,Behaving in manner whereby breach of the peace occurs,01/03/2003,,Section: 115,,MC800110,,
012,MC80,MC80012,Publication by editor/publisher etc of newspaper/periodical etc reporting a matter falling with s.8C,01/04/2005,,Section: 8D,,MC800120,,
001,MC93,MC93001,Child aged under one year in a carry cot where the carry cot is not restrained by straps. (Front seat),,,Section: 7(1)(c),,MC930010,,
025,MD21,MD21025,Unlawful Act W/I to Obstruct Railway,,01/01/1901,Section: 35,,MD210250,,
026,MD21,MD21026,Caused Unlawful Act W/I to Obstruct Railway,,01/01/1901,Section: 35,,MD210260,,
027,MD21,MD21027,Obstruct Railway Engine/Carriage by Act/Omission,,01/01/1901,Section: 36,,MD210270,,
028,MD21,MD21028,Cause to Obstruct Railway Engine/Carriage by Act/Omission,,01/01/1901,Section: 36,,MD210280,,
001,MD59,MD59001,Trading as a distributor or using dairy premises without a registration,19/06/1997,,Section: 8(4),,MD590010,,
001,MD61,MD61001,Blocking railway with intent to obstruct - endangering life,,01/01/1901,Section: 35,,MD610010,,
003,MD61,MD61003,Blocking railway with intent to obstruct - £20 or over damage,,01/01/1901,Section: 35,,MD610030,,
005,MD61,MD61005,Damaging railway with intent to obstruct - endangering life,,01/01/1901,Section: 35,,MD610050,,
007,MD61,MD61007,Damaging railway with intent to obstruct - £20 or over damage,,01/01/1901,Section: 35,,MD610070,,
009,MD61,MD61009,Obstructing engine or carriage on railway - endangering life,,01/01/1901,Section: 36,,MD610090,,
011,MD61,MD61011,Obstructing engine or carriage on railway - £20 or over damage,,01/01/1901,Section: 36,,MD610110,,
013,MD61,MD61013,Exhibiting false signal to endanger shipping and thus life,,,Section: 47,,MD610130,,
015,MD61,MD61015,Exhibiting false signal to endanger shipping - £20 or over damage,,,Section: 47,,MD610150,,
017,MD61,MD61017,Removing buoy etc - endangering life,,,Section: 48,,MD610170,,
019,MD61,MD61019,Removing buoy etc - £20 or over damage,,,Section: 48,,MD610190,,
020,MD61,MD61020,Put/throw stone/wood/thing on railway W/I to obstruct,,,Section: 35,,MD610200,,
021,MD61,MD61021,Take up/Remove/Display rail/Sleeper/Thing W/I to obstruct railway,,,Section: 35,,MD610210,,
022,MD61,MD61022,Turn/Move/Divert Points/Machinery W/I to obstruct,,,Section: 35,,MD610220,,
023,MD61,MD61023,Make/Show Light/Signal on Railway W/I,,,Section: 35,,MD610230,,
024,MD61,MD61024,Hide/Remove Light/Signal On Railway W/I,,,Section: 35,,MD610240,,
025,MD61,MD61025,"Unlawfully and maliciously did an act with intent to obstruct, upset, overthrow, injure or destroy any engine, tender, carriage or truck using the railway.",,,Section: 35,,MD610250,,
026,MD61,MD61026,"Unlawfully and maliciously caused an act to be done with intent to obstruct, upset, overthrow, injure or destroy any engine, tender, carriage or truck using the railway.",,,Section: 35,,MD610260,,
027,MD61,MD61027,"Obstructed any engine or carriage using the railway by an unlawful act, a wilful omission or neglect, aiding or assisting in an unlawful act or aiding or assisting in a wilful omission or neglect.",,,Section: 36,,MD610270,,
028,MD61,MD61028,"Caused to be obstructed any engine or carriage using the railway by an unlawful act, a wilful omission or neglect, aiding or assisting in an unlawful act or aiding or assisting in a wilful omission or neglect.",,,Section: 36,,MD610280,,
001,MD68,MD68001,Selling medicinal product without or contrary to product licence,,,Section: 7(2)(a)  &  45(1),,MD680010,,
002,MD68,MD68002,Supplying medicinal product without or contrary to product licence,,,Section: 7(2)(a)  &  45(1),,MD680020,,
003,MD68,MD68003,Exporting medicinal product without or contrary to product licence,,,Section: 7(2)(a)  &  45(1),,MD680030,,
004,MD68,MD68004,Procuring sale of medicinal product without or contrary to product licence,,,Section: 7(2)(b)  &  45(1),,MD680040,,
005,MD68,MD68005,Procuring supply of medicinal product without or contrary to product licence,,,Section: 7(2)(b)  &  45(1),,MD680050,,
006,MD68,MD68006,Procuring exportation of medicinal product without or contrary to product licence,,,Section: 7(2)(b)  &  45(1),,MD680060,,
007,MD68,MD68007,Disclosing restricted information,,,Section: 118,,MD680070,,
008,MD68,MD68008,Procuring manufacture of medicinal product for sale supply or exportation without or contrary to product licence,,,Section: 7(2)(c)  &  45(1),,MD680080,,
009,MD68,MD68009,Procuring assembly of medicinal product for sale supply or exportation without or contrary to product licence,,,Section: 7(2)(c)  &  45(1),,MD680090,,
010,MD68,MD68010,Importing medicinal product without or contrary to product licence,,,Section: 7(3)  &  45(1),,MD680100,,
011,MD68,MD68011,Manufacturing medicinal product without or contrary manufacturer's licence,,,Section: 8(2)  &  45(1),,MD680110,,
012,MD68,MD68012,Assembling medicinal product without or contrary to manufacturer's licence,,,Section: 8(2)  &  45(1),,MD680120,,
013,MD68,MD68013,Selling medicinal product wholesale without or contrary to manufacturer's licence,,,Section: 8(3)  &  45(1),,MD680130,,
014,MD68,MD68014,Offering to sell medicinal product wholesale without or contrary to manufacturer's licence,,,Section: 8(3)  &  45(1),,MD680140,,
015,MD68,MD68015,Selling medicinal product for clinical trial without relevant product licence or clinical trial certificate,,,Section: 31(2)(a)  &  45(1),,MD680150,,
016,MD68,MD68016,Supplying medicinal product for clinical trial without relevant product licence or clinical trial certificate,,,Section: 31(2)(a)  &  45(1),,MD680160,,
017,MD68,MD68017,Procuring sale of medicinal product for clinical trial without relevant product licence or clinical trial certificate,,,Section: 31(2)(b)  &  45(1),,MD680170,,
018,MD68,MD68018,Procuring supply of medicinal product for clinical trial without relevant product licence or clinical trial certificate,,,Section: 31(2)(b)  &  45(1),,MD680180,,
019,MD68,MD68019,Procure manufacture of medicinal product for sale/supply for clinical trial w/o relevant product licence/certificate,,,Section: 31(2)(c)  &  45(1),,MD680190,,
020,MD68,MD68020,Procure assembly of medicinal product for sale/supply for clinical trial w/o relevant product licence/certificate,,,Section: 31(2)(c)  &  45(1),,MD680200,,
021,MD68,MD68021,Importing medicinal product for clinical trial without relevant product licence or clinical trial certificate,,,Section: 31(3)  &  45(1),,MD680210,,
022,MD68,MD68022,Selling medicinal product for test on animals without relevant product licence or animal test certificate,,01/10/2006,Section: 32(1)(a)  &  45(1),,MD680220,,
023,MD68,MD68023,Supplying medicinal product for test on animals without relevant product licence or animal test certificate,,01/10/2006,Section: 32(1)(a)  &  45(1),,MD680230,,
024,MD68,MD68024,Procuring sale of medicinal product for test on animals without relevant product licence or animal test certificate,,01/10/2006,Section: 32(1)(b)  &  45(1),,MD680240,,
025,MD68,MD68025,Procuring supply of medicinal product for test on animals without relevant product licence or animal test certificate,,01/10/2006,Section: 32(1)(b)  &  45(1),,MD680250,,
026,MD68,MD68026,Procure manufacture of medicinal product for sale/supply for test on animals w/o relevant product licence/certificate,,01/10/2006,Section: 32(1)(c)  &  45(1),,MD680260,,
027,MD68,MD68027,Procure assembly of medicinal product for sale/supply for test on animals w/o relevant product licence/certificate,,01/10/2006,Section: 32(1)(c)  &  45(1),,MD680270,,
028,MD68,MD68028,Importing medicinal product for test on animals without relevant product licence or animal test certificate,,01/10/2006,Section: 32(3)  &  45(1),,MD680280,,
029,MD68,MD68029,Administer medicinal product to animal as part of medicinal test on animals w/o relevant product licence/certificate,,01/10/2006,Section: 32(4)  &  45(1),,MD680290,,
030,MD68,MD68030,Procure admin' of medicinal product - part of medicinal test on animals w/o relevant product lic'/cert',,01/10/2006,Section: 32(4)  &  45(1),,MD680300,,
031,MD68,MD68031,Sell for human consumption animal on which medicinal test has been carried out contrary to s34(1)(a) / (b) condition,,01/10/2006,Section: 34(1)  &  45(1),,MD680310,,
032,MD68,MD68032,Supply for human consumption animal on which medicinal test has been carried out contrary to s34(1)(a) / (b) condition,,01/10/2006,Section: 34(1)  &  45(1),,MD680320,,
033,MD68,MD68033,Sell for human consumption animal carcass/part used for medicinal test contrary to s34(1)(a) / (b) condition,,01/10/2006,Section: 34(1)  &  45(1),,MD680330,,
034,MD68,MD68034,Supply for human consumption animal carcass/part used for medicinal test contrary to s34(1)(a)/(b) condition,,01/10/2006,Section: 34(1)  &  45(1),,MD680340,,
035,MD68,MD68035,Sell for human consumption produce of animal used for medicinal test carried out contrary to s34(1)(a)/(b),,01/10/2006,Section: 34(1)  &  45(1),,MD680350,,
036,MD68,MD68036,Supply for human consumption produce of animal used for medicinal test contrary to s34(1)(a) or (b),,01/10/2006,Section: 34(1)  &  45(1),,MD680360,,
037,MD68,MD68037,Selling medicinal product without relevant product licence/animal test cert/vet prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680370,,
038,MD68,MD68038,Supplying medicinal product without relevant product licence/animal test cert/vet prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680380,,
039,MD68,MD68039,Exporting medicinal product without relevant product/licence animal test cert/vet prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680390,,
040,MD68,MD68040,Procuring sale of medicinal product without relevant product licence/animal test cert/vet prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680400,,
041,MD68,MD68041,"Procure supply of medicinal product w/o relevant licence, animal test cert/vet prescription",,01/10/2006,Section: 40(1)  &  45(1),,MD680410,,
042,MD68,MD68042,Procure exportation of medicinal product w/o relevant licence/animal test cert/vet prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680420,,
043,MD68,MD68043,Procure manufacture of medicinal product - sale/supply/export w/o licence/animal test cert'/vet' prescription,,01/10/2006,Section: 40(1)  &  45(1),,MD680430,,
044,MD68,MD68044,Importing medicinal product without relevant product licence/animal test cert/vet prescription,,01/10/2006,Section: 40(2)  &  45(1),,MD680440,,
045,MD68,MD68045,Incorp medicinal product into animal feed w/o licence/animal test cert/vet prescription,,01/10/2006,Section: 40(3)  &  45(1),,MD680450,,
046,MD68,MD68046,-,,01/01/1901,Section:,,MD680460,,
047,MD68,MD68047,-,,01/01/1901,Section:,,MD680470,,
048,MD68,MD68048,Product licence/clinical trial cert etc holder fail to inform manufacturer/assembler of product of relevant licence/cert,,,Section: 45(3)(a),,MD680480,,
049,MD68,MD68049,Product licence etc holder fail inform product manufacturer/assembler of variation of relevant licence/cert w/i 14 days,,,Section: 45(3)(b),,MD680490,,
050,MD68,MD68050,Product licence holder fail inform person to whom substance etc sold etc for incorp into animal feedstuff of lic'/cert',,,Section: 45(4),,MD680500,,
051,MD68,MD68051,Product lic' etc holder fail inform person - substance sold for incorp into animal feedstuff of req' by licence,,,Section: 45(4),,MD680510,,
052,MD68,MD68052,Product lic etc holder fail inform buyer of substance for incorp into animal feedstuff of variation of prov' w/i 14 days,,,Section: 45(5),,MD680520,,
053,MD68,MD68053,Knowingly giving materially false information in purported compliance with requirement in s44 of this Act,,,Section: 45(6),,MD680530,,
054,MD68,MD68054,Unreasonably failing to comply with notice issued under s44(2) of this Act to supply information,,,Section: 45(7),,MD680540,,
055,MD68,MD68055,Unlawfully retailing medicinal product not on general sales list,,,Section: 52  &  67(2),,MD680550,,
056,MD68,MD68056,Unlawfully offering for retail medicinal product not on general sales list,,,Section: 52  &  67(2),,MD680560,,
057,MD68,MD68057,Unlawfully exposing for retail medicinal product not on general sales list,,,Section: 52  &  67(2),,MD680570,,
058,MD68,MD68058,Unlawfully supplying medicinal product not on general sales list,,,Section: 52  &  67(2),,MD680580,,
059,MD68,MD68059,Unlawfully retailing medicinal product on general sales list in place other than registered pharmacy,,,Section: 53(1)  &  67(5),,MD680590,,
060,MD68,MD68060,Unlawfully offering for retail medicinal product on general sales list in place other than registered pharmacy,,,Section: 53(1)  &  67(5),,MD680600,,
061,MD68,MD68061,Unlawfully exposing for retail medicinal product on general sales list in place other than registered pharmacy,,,Section: 53(1)  &  67(5),,MD680610,,
062,MD68,MD68062,Unlawfully supplying medicinal product on general sales list in place other than registered pharmacy,,,Section: 53(1)  &  67(5),,MD680620,,
063,MD68,MD68063,Selling by automatic machine medicinal product which is not in automatic machines section of general sales list,,,Section: 54(1)  &  67(5),,MD680630,,
064,MD68,MD68064,Offer for sale by automatic machine medicinal product not in automatic machines section of general sales list,,,Section: 54(1)  &  67(5),,MD680640,,
065,MD68,MD68065,Expose for sale by automatic machine medicinal product not in automatic machines section of general sales list,,,Section: 54(1)  &  67(5),,MD680650,,
066,MD68,MD68066,Selling by automatic machine medicinal product in container not meeting requirement of order made by Secretary of State,,,Section: 54(2)  &  67(5),,MD680660,,
067,MD68,MD68067,Offer for sale by automatic machine medicinal product in container not meeting req' of order made by Sec of State,,,Section: 54(2)  &  67(5),,MD680670,,
068,MD68,MD68068,Expose for sale by automatic machine medicinal product in container not meeting req' of order made by Sec of State,,,Section: 54(2)  &  67(5),,MD680680,,
069,MD68,MD68069,Retailing medicinal product without or contrary to prescription required under order of Secretary of State,,,Section: 58(2)(a)  &  67(2),,MD680690,,
070,MD68,MD68070,Supplying medicinal product without or contrary to prescription required under order of Secretary of State,,,Section: 58(2)(a)  &  67(2),,MD680700,,
071,MD68,MD68071,Person not auth' practitioner admin' medicinal product spec' in Sec of State order contrary to req' script,,,Section: 58(2)(b)  &  67(2),,MD680710,,
072,MD68,MD68072,Person other than practitioner/pharmacist retailing medicinal product specified in regs made by Sec of State,,,Section: 60(1)  &  67(2),,MD680720,,
073,MD68,MD68073,Person other than practitioner/pharmacist supply medicinal product specified in regs made by Secretary of State,,,Section: 60(1)  &  67(2),,MD680730,,
074,MD68,MD68074,Person other than practitioner administering medicinal product specified in regulations made by Secretary of State,,,Section: 60(2)  &  67(2),,MD680740,,
075,MD68,MD68075,Holder of product licence/manufacturer etc sell medicinal product to forbidden person contrary to Sec of State's regs,,,Section: 61  &  67(2),,MD680750,,
076,MD68,MD68076,Holder of product licence/manufacturer etc supply medicinal product to forbidden person contrary to Sec of State's regs,,,Section: 61  &  67(2),,MD680760,,
077,MD68,MD68077,Selling medicinal product forbidden by order of Secretary of State,,,Section: 62(1)(a)  &  67(2),,MD680770,,
078,MD68,MD68078,Supplying medicinal product forbidden by order of Secretary of State,,,Section: 62(1)(a)  &  67(1),,MD680780,,
079,MD68,MD68079,Importing medicinal product forbidden by order of Secretary of State,,,Section: 62(1)(a)  &  67(1),,MD680790,,
080,MD68,MD68080,Selling animal feeding stuff prohibited by order of Secretary of State as it incorporates forbidden medicinal product,,01/10/2006,Section: 62(1)(b)  &  67(2),,MD680800,,
081,MD68,MD68081,Supplying animal feeding stuff prohibited by Secretary of State as it incorporates forbidden medicinal product,,01/10/2006,Section: 62(1)(b)  &  67(2),,MD680810,,
082,MD68,MD68082,Importing animal feeding stuff prohibited by Secretary of State as it incorporates forbidden medicinal product,,01/10/2006,Section: 62(1)(b)  &  67(2),,MD680820,,
083,MD68,MD68083,Adulterating medicinal product,,,Section: 63(a)  &  67(2),,MD680830,,
084,MD68,MD68084,Selling adulterated medicinal product,,,Section: 63(b)  &  67(2),,MD680840,,
085,MD68,MD68085,Supplying adulterated medicinal product,,,Section: 63(b)  &  67(2),,MD680850,,
086,MD68,MD68086,Exposing for sale or supply adulterated medicinal product,,,Section: 63(b)  &  67(2),,MD680860,,
087,MD68,MD68087,Possessing for sale or supply adulterated medicinal product,,,Section: 63(b)  &  67(2),,MD680870,,
088,MD68,MD68088,Selling medicinal product which is not of the nature and quality demanded by purchaser,,,Section: 64(1)  &  67(2),,MD680880,,
089,MD68,MD68089,Sell medicinal product demanded etc by particular name it does not comply with standard spec in relevant monograph,,,Section: 65(1)  &  67(2),,MD680890,,
090,MD68,MD68090,Supply medicinal product demanded etc by particular name it does not comply with standard spec in relevant monograph,,,Section: 65(1)  &  67(2),,MD680900,,
091,MD68,MD68091,Sell medicinal product previously offered etc for sale by name when not comply with standard spec in relevant monograph,,,Section: 65(2)  &  67(2),,MD680910,,
092,MD68,MD68092,Supply medicinal product previously offered etc for sale by name when comply with standard spec in relevant monograph,,,Section: 65(2)  &  67(2),,MD680920,,
093,MD68,MD68093,Unlawfully possessing medicinal product known to have been sold supplied or imported contrary to s62 of this Act,,,Section: 67(3),,MD680930,,
094,MD68,MD68094,Retail pharmacist failing to send annual return to registrar,,,Section: 77  &  84(1),,MD680940,,
095,MD68,MD68095,Taking or using title of (dispensing) chemist and/or druggist in conditions other than in s78(3),,,Section: 78(2)  &  84(2),,MD680950,,
096,MD68,MD68096,Unlawfully using description pharmacy of business,,,Section: 78(4)  &  84(2),,MD680960,,
097,MD68,MD68097,Unlawfully take/use title of Pharmaceutical chemist/member and/or fellow of the Pharmaceutical Society,,,Section: 78(5)  &  84(2),,MD680970,,
098,MD68,MD68098,Use title/description/emblem suggesting qualified to sell/manufacture/assemble medicinal products not in possession,,,Section: 78(6)  &  84(2),,MD680980,,
099,MD68,MD68099,Contravene regs made by Sec of State concerning restrictions etc on using title/description/emblem not in s78(6),,,Section: 79(2)  &  84(2),,MD680990,,
100,MD68,MD68100,Selling medicinal product with false or misleading label or marking on package or container,,,Section: 85(5)  &  91(1),,MD681000,,
101,MD68,MD68101,Supplying medicinal product with false or misleading label or marking on package or container,,,Section: 85(5)  &  91(1),,MD681010,,
102,MD68,MD68102,Possessing for sale or supply medicinal product with false or misleading label or marking on package or container,,,Section: 85(5)  &  91(1),,MD681020,,
103,MD68,MD68103,Supplying false or misleading leaflet with medicinal product,,,Section: 86(3)  &  91(1),,MD681030,,
104,MD68,MD68104,Possessing false or misleading leaflet for supply with medicinal product,,,Section: 86(3)  &  91(1),,MD681040,,
105,MD68,MD68105,Supplying false or misleading leaflet with animal feedstuff incorporating medicinal product,,,Section: 86(3)  &  91(1),,MD681050,,
106,MD68,MD68106,Possess false or misleading leaflet for supply with animal feedstuff incorporating medicinal product,,,Section: 86(3)  &  91(1),,MD681060,,
107,MD68,MD68107,Sell animal feedstuff incorporating medicinal product in container or package with false/misleading label,,01/10/2006,Section: 90(2)  &  91(1),,MD681070,,
108,MD68,MD68108,Supply animal feedstuff incorporating medicinal product in container or package with false/ misleading label,,01/10/2006,Section: 90(2)  &  91(1),,MD681080,,
109,MD68,MD68109,Possess for sale/supply animal feedstuff incorp' medicinal product in container/package with false/misleading label,,01/10/2006,Section: 90(2)  &  91(1),,MD681090,,
110,MD68,MD68110,Issuing false or misleading advertisement concerning medicinal product,,,Section: 93(1),,MD681100,,
111,MD68,MD68111,Causing another to issue false or misleading advertisement concerning medicinal product,,,Section: 93(1),,MD681110,,
112,MD68,MD68112,Issuing advertisement for medicinal product including unauthorised recommendation,,,Section: 93(2),,MD681120,,
113,MD68,MD68113,Causing another to issue advertisement for medicinal product including unauthorised recommendation,,,Section: 93(2),,MD681130,,
114,MD68,MD68114,Making false or misleading representation about medicinal product,,,Section: 93(3),,MD681140,,
115,MD68,MD68115,Making representation which includes unauthorised recommendation,,,Section: 93(4),,MD681150,,
116,MD68,MD68116,Issuing advertisement for medicinal product without consent of holder of product licence,,,Section: 94(1)  &  (2),,MD681160,,
117,MD68,MD68117,Causing another to issue advertisement for medicinal product without consent of holder of product licence,,,Section: 4(1)  &  (2),,MD681170,,
118,MD68,MD68118,Sending practitioner advertisement for medicinal product contravening condition of s95(3),,,Section: 96(1)  &  (5),,MD681180,,
119,MD68,MD68119,Making representation to practitioner for medicinal product contravening condition in s95(3),,,Section: 96(2)  &  (5),,MD681190,,
120,MD68,MD68120,Failing to comply with requirement of licensing authority to furnish copy of advertisement for medicinal product,,,Section: 97(1)  &  (2),,MD681200,,
121,MD68,MD68121,Wilfully obstructing person exercising authorised power under this Act,,,Section: 114(2)(a),,MD681210,,
122,MD68,MD68122,Wilfully fail to comply with req' of person exercising s112 power re inspection/taking of samples goods/doc's etc,,,Section: 114(2)(b),,MD681220,,
123,MD68,MD68123,Failing to give duly authorised officer exercising power under this Act required assistance or information,,,Section: 114(2)(c),,MD681230,,
124,MD68,MD68124,Making materially false statement in purported compliance with s114(2)(c) of this Act,,,Section: 114(3),,MD681240,,
125,MD68,MD68125,Defendant in s122(1) apply written warranty to substance/article other than that shown on  warranty,,,Section: 123(1)(a)  &  (4),,MD681250,,
126,MD68,MD68126,Defendant in s122(1) apply cert under s115/Sch 3 Para 19 to sample of substance/article other than on cert',,,Section: 123(1)(b)  &  (4),,MD681260,,
127,MD68,MD68127,Give purchaser of medicinal product false warranty relating to substance/article sold which might be pleaded under s122,,,Section: 123(2),,MD681270,,
128,MD68,MD68128,Sell/supply a medicinal product so as to contravene any requirements applicable to that product,10/06/1997,,Section: 85(3),,MD681280,,
129,MD68,MD68129,Fail to make entries in a record relating to responsible pharmacists,,,Section: 72A(4) & 84(A1)(a),,MD681290,,
130,MD68,MD68130,Fail to keep / preserve entries in a record relating to responsible pharmacists,,,Section: 72A(4) & 84(A1)(b),,MD681300,,
001,MD71,MD71001,Producing controlled drug - Class A,,01/01/1901,Section: 4(2)(a),,MD710010,,
002,MD71,MD71002,Producing controlled drug - Class B,,01/01/1901,Section: 4(2)(a),,MD710020,,
003,MD71,MD71003,Producing controlled drug - Class C,,21/01/2004,Section: 4(2)(a),,MD710030,,
004,MD71,MD71004,Being concerned in producing controlled drug - Class A,,01/01/1901,Section: 4(2)(b),,MD710040,,
005,MD71,MD71005,Being concerned in producing controlled drug - Class B,,01/01/1901,Section: 4(2)(b),,MD710050,,
006,MD71,MD71006,Being concerned in producing controlled drug - Class C,,21/01/2004,Section: 4(2)(b),,MD710060,,
007,MD71,MD71007,Supplying controlled drug - Class A,,31/08/2002,Section: 4(3)(a),,MD710070,,
008,MD71,MD71008,Supplying controlled drug - Class B,,31/08/2002,Section: 4(3)(a),,MD710080,,
009,MD71,MD71009,Supplying controlled drug - Class C - Other,,21/01/2004,Section: 4(3)(a),,MD710090,,
009C,MD71,MD71009C,Conspiracy to supply controlled drug - Class C - Other,,21/01/2004,Section:,,MD71009C,,
010,MD71,MD71010,Supplying controlled drug - class not specified,,31/08/2002,Section: 4(3)(a),,MD710100,,
011,MD71,MD71011,Offering to supply controlled drug - Class A,,31/08/2002,Section: 4(3)(a),,MD710110,,
012,MD71,MD71012,Offering to supply controlled drug - Class B,,31/08/2002,Section: 4(3)(a),,MD710120,,
013,MD71,MD71013,Offering to supply controlled drug - Class C,,21/01/2004,Section: 4(3)(a),,MD710130,,
014,MD71,MD71014,Being concerned in supplying controlled drug - Class A,,31/08/2002,Section: 4(3)(b),,MD710140,,
015,MD71,MD71015,Being concerned in supplying controlled drug - Class B,,31/08/2002,Section: 4(3)(b),,MD710150,,
016,MD71,MD71016,Being concerned in supplying controlled drug - Class C,,21/01/2004,Section: 4(3)(b),,MD710160,,
017,MD71,MD71017,Being concerned in offer to supply controlled drug - Class A,,31/08/2002,Section: 4(3)(c),,MD710170,,
